pl_name,pl_letter,hostname,hd_name,hip_name,sy_dist,pl_orbsmax,pl_orbper,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,discoverymethod,disc_year,ra,dec
"DE CVn b","b","DE CVn",,,30.52250000,5.7500000000,4098.10000000000,0.000000,12.40000000,3823.27330161,,"Eclipse Timing Variations",2018,201.7207198,45.5455449
"GJ 9689 b","b","GJ 9689",,"HIP 99699",30.62030000,0.1139000000,18.27000000000,0.290000,3.07000000,9.65000000,453.04,"Radial Velocity",2020,303.4677310,13.3888921
"TOI-1801 b","b","TOI-1801",,"HIP 57099",30.67960000,0.0750000000,10.64387000000,0.000000,2.07900000,5.73800000,493.70,"Transit",2023,175.5755995,23.0270335
"HD 8326 b","b","HD 8326","HD 8326","HIP 6390",30.68620000,0.5330000000,158.99100000000,0.200000,9.58000000,66.60000000,,"Radial Velocity",2019,20.5314418,-26.8940678
"TOI-1693 b","b","TOI-1693",,,30.79470000,0.0226000000,1.76669570000,,1.41000000,2.57000000,764.00,"Transit",2022,90.3083455,34.7730904
"HD 162020 b","b","HD 162020","HD 162020","HIP 87330",30.82480000,0.0800000000,8.42820000000,0.280000,12.50000000,3127.44720000,650.00,"Radial Velocity",2002,267.6599252,-40.3184646
"HD 29021 b","b","HD 29021","HD 29021","HIP 21571",30.99390000,2.2940000000,1365.00000000000,0.453000,12.90000000,1420.69297929,,"Radial Velocity",2017,69.4681379,60.6762985
"TOI-406.01","b","TOI-406",,,31.05970000,0.0809000000,13.17568200000,0.056000,2.08000000,6.57000000,368.00,"Transit",2024,49.2626428,-42.2441492
"TOI-406 c","c","TOI-406",,,31.05970000,0.0322000000,3.30744100000,0.032000,1.32000000,2.08000000,584.00,"Transit",2024,49.2626428,-42.2441492
"K2-239 b","b","K2-239",,,31.08490000,0.0441000000,5.24000000000,,1.10000000,1.37000000,502.00,"Transit",2018,160.5941265,4.4413751
"K2-239 c","c","K2-239",,,31.08490000,0.0576000000,7.77500000000,,1.00000000,0.97200000,427.00,"Transit",2018,160.5941265,4.4413751
"K2-239 d","d","K2-239",,,31.08490000,0.0685000000,10.11500000000,,1.10000000,1.37000000,399.00,"Transit",2018,160.5941265,4.4413751
"TOI-700 b","b","TOI-700",,,31.12650000,0.0677000000,9.97721900000,0.075000,0.91400000,0.70400000,417.00,"Transit",2020,97.0957165,-65.5786149
"TOI-700 c","c","TOI-700",,,31.12650000,0.0929000000,16.05113700000,0.068000,2.60000000,7.27000000,356.00,"Transit",2020,97.0957165,-65.5786149
"TOI-700 d","d","TOI-700",,,31.12650000,0.1633000000,37.42396000000,0.042000,1.07300000,1.25000000,268.80,"Transit",2020,97.0957165,-65.5786149
"TOI-700 e","e","TOI-700",,,31.12650000,0.1340000000,27.80978000000,0.059000,0.95300000,0.81800000,272.90,"Transit",2023,97.0957165,-65.5786149
"HD 221420 b","b","HD 221420","HD 221420","HIP 116250",31.14150000,10.1500000000,10090.00000000000,0.140000,12.00000000,7278.27052030,,"Radial Velocity",2019,353.3319001,-77.3853286
"HD 50554 b","b","HD 50554","HD 50554","HIP 33212",31.16640000,2.3530000000,1293.00000000000,0.501000,12.80000000,1859.29618095,,"Radial Velocity",2002,103.6782730,24.2451409
